"restaurant_name","place_id"
"Taparee , Indian & Nepalese Cuisine","ChIJXRhGbDcbdkgRE9OnyZ00Rdg"
"Namaste Holborn","ChIJm4hlXUwbdkgRhyNhK5KjpuU"
"N1 Grill","ChIJy4rsNEIbdkgR6pQC_it98_g"
"Bangalore Brasserie","ChIJb8S4ggUbdkgR6E72e_tV7Qo"
"The Great Indian","ChIJeyAlAgAbdkgR_Wt7M-cuOtw"
"OMNOM Islington","ChIJMZzVzZMbdkgRJeZXI1qaDvM"
"Govinda's Soho Street","ChIJN4xC2ywbdkgRw6jKHfSG0sQ"
"Diwana Bhel Poori House","ChIJG4khQiYbdkgR3AHuznzRzRc"
"Chutneys","ChIJY2cmSiYbdkgRqUmvCSPXhxk"
"Punjab Restaurant","ChIJOwZi1DIbdkgR9N8Wcyebz_Q"
"Ragam - Fitzrovia","ChIJMxA9jykbdkgRTLqE_8-At-k"
"Five Fingers","ChIJrQ5j2fIddkgRgh2vP0PLR1Y"
"Hillmarton Tandoori","ChIJUTaa4AsbdkgRpN4v8qw_3pw"
"Ravi Shankar Bhelpoori House","ChIJx3sWQSYbdkgRB1CTPlmFl9I"
"Poppadom Indian Kitchen","ChIJI_UgQjAbdkgRcnln6w0KakY"
"Jam Delish Islington","ChIJQc70THUFdkgRDJOG51aJMks"
"Goila Butter Chicken","ChIJn4Ku_U0FdkgRsjXsZ1TpNnM"
"Thenga Cafe","ChIJM28WNzobdkgRsnoCwh_o648"
"Rosa's Thai King's Cross","ChIJGzwJTO4bdkgRoCPkN9E7msE"
"Maharaja of India","ChIJS_aY-s0EdkgRbxbEVrlil9k"
"New Surma Tandoori","ChIJK-Eiop8cdkgRO8lq0mbRKa0"
"The Chambeli Indian Restaurant","ChIJNyuRtDYbdkgRlEy0Ogktjl4"
"Amin Restaurant","ChIJL8RQSKYbdkgRpxQXDnvL4Is"
"Dishoom Shoreditch","ChIJxYs1ArocdkgR-G13PLmofec"
"Masala essence","ChIJT79GbzobdkgROA_yHpdWigM"
"The Kati Roll Company","ChIJryulLSsbdkgRGzQbhLvsV-M"
"drummond street taste of india","ChIJxewuUJ0bdkgRuLXMiAij80A"
"Sagar South Indian Vegetarian Restaurant . West End","ChIJn6k6TywbdkgRf42LPHvHT4s"
"Indian YMCA Restaurant","ChIJaWyAJCgbdkgRjSgEr1sMre4"
"Great Nepalese","ChIJ4S83XCQbdkgR1jq0k4qasps"
"Taste of Jaipur","ChIJ6-NV_ssddkgR4SA-qWwY9Kg"
"Delhiacacies Deliveroo","ChIJk_lBVAAbdkgR_C5VfT36C54"
"Govinda's Holborn","ChIJB3SvjlobdkgRtKb-I-nEC8k"
"ZAFFRAN UK","ChIJRTyoUAAbdkgRFevyeoVm94M"
"Bollywood Stories","ChIJt_20QDUbdkgRWEcf-k0yoTc"
"Tikkas Oxford Circus","ChIJ6eVCtnobdkgRyJ0pDxEnD68"
"Curry 4 U","ChIJnytWMRwbdkgRX7qh_MnNrRo"
"Suruchi","ChIJ5f_vuoUcdkgRUWKCwRW8PU0"
"Bombay Palace","ChIJE9afL0sFdkgRDbhQeeLFLCE"
"Monsoon Indian takeaway","ChIJU-MHWZwcdkgRMIzYw7imcs8"
"Eastern Eye Balti House","ChIJ1QVPmrUcdkgR_ucC7oQ0STc"
"Sheba Restaurant - Awarded Best Curry House In UK","ChIJMRl6DLYcdkgRt9E0ECCsVcc"
"Pahli Hill Bandra Bhai","ChIJQ0ggkKQbdkgR8H1lxMkVB6I"
"Machan Kitchen - Sri Lankan Restaurant","ChIJ1U-042QbdkgRUKmkhzlTBWo"
"Yak & Yeti (Finsbury Park, Stroud Green)","ChIJZ-3eGJcbdkgR2LKm7nL6DDo"
"Jai Krishna","ChIJfyNEApcbdkgRgv6ZSvDkwh8"
"Woburn Tandoori","ChIJgQq8tTobdkgRpyHWE2idZRM"
"Bengal Village - Best of Brick Lane","ChIJFVTGbyUddkgRwo5u9BLz27M"
"Flamin Spice Camden","ChIJ4VTiHeAbdkgR8Mmnh5BBGGk"
"Chaiiwala","ChIJmbSTP0IbdkgRR9b_rqkGFYs"
"Muhib’s best in brick lane","ChIJ72sqQrYcdkgRBFkXputxDOQ"
"The Famous Curry Bazaar","ChIJ72sqQrYcdkgRUBNeyba3WSI"
"Flavour Bazaar","ChIJA3yGiE4bdkgROCWcV8JHqIg"
"The Tiffin Tin (West Hampstead)","ChIJXYp2fHwQdkgRNc4cvwPXe9w"
"New healthy wealthy","ChIJkwjJHwAbdkgRus-9xok-Xd0"
"Ash Tandoori, London","ChIJCeKjgqUddkgRkJMIgy5X5qM"
"Leads Eatery Indian Restaurant & Takeaway","ChIJd_sraK4ddkgRGLwq9-v2BTc"
"The Monsoon","ChIJVfHJINgddkgRFwZklvsWiw4"
"City Spice - Voted Best Indian Restaurant on Brick Lane","ChIJh8rSPbYcdkgR4D7XGgVWfQk"
"Meraz","ChIJvaJ2_bUcdkgR_zwnL5ddVn0"
"The Standard Bricklane - Voted Best Indian In London","ChIJ72sqQrYcdkgRLZ4tWz5adSg"
"Kitchen Dhaanya","ChIJy_hbm7wcdkgRfdnJYEgTRYU"
"Bonoo Indian Tapas Muswell Hill","ChIJ21dXuGcbdkgRebDxEclXXwE"
"The Sitara","ChIJFb9nVq4bdkgRX3akM_Xi1_0"
"Bengal Spice (Islington)","ChIJT3xHKqQbdkgRuhJAPkUpvlQ"
"Zaffron Indian Kitchen","ChIJbbu_4S4bdkgRcEfpaHk1jTk"
"MAKHANZA - Pan Indian Kitchen","ChIJ4SR7BjUddkgRTlWp5ep9TuY"
"Indian Rasoi Restaurant","ChIJmfz7AyUadkgR8oKLestQemM"
"Bonoo Indian Tapas Hampstead","ChIJ6WzEYoYQdkgRV76e176Wii4"
"Namaaste Highgate","ChIJKapHMdkbdkgRi7lxdEzyOcs"
"The Tiffin Tin (Tufnell Park)","ChIJaYHOea4bdkgRQtxvXxYG8Pk"
"Chai n' Biryani","ChIJTwsxUwAbdkgR83J0yjpmQKw"
"God's Own Country","ChIJr33Y5bobdkgRuQH9HPZaHDw"
"Bombay Rickshaw","ChIJOUKlCcIbdkgR2a02NxTQbDc"
"Indigo Indian Takeaway","ChIJM19NWaIbdkgRKNSDgr1aV2o"
"Bengal Indian Cuisine","ChIJcWM1lMEbdkgRHLQUlEJtFQM"
"Koyla Lahore Karahi","ChIJCw8SJqAbdkgRmqWmHTKCkR4"
"Monsoon","ChIJCUGPDlUadkgRAapblFuIEIM"
"Paradise","ChIJ-2wn7YoadkgRlTOmbRUGMZY"
"Kiplings","ChIJ08_jA0kadkgRHXJCAyQoizQ"
"Taste of Deshi Spices","ChIJs9k6-NgbdkgRe5Zuzra-EMQ"
"Cooking Pot","ChIJ13KtXqIbdkgRwVBmsV39BEA"
"India's Tasty Tales","ChIJ_wEbz9obdkgRKiXwa2grr7M"
"Shahi Pakwaan","ChIJq6pGPzkadkgRBtjI6pRT76Y"
"Mulakat","ChIJWfX_l6gZdkgRWgLiz6g3bgU"
"Belash Crouch End","ChIJ5z79EcEbdkgRB2R-tWxK4CY"
"Saffron Indian Cuisine","ChIJtTevlcEbdkgRmTJ8mfRJx00"
"Methi","ChIJLWdmXt8bdkgRmORw_qa-1gI"
"The Meghna Tandoori","ChIJwyHTI8EbdkgRe0QdeJTM_Sc"
"The Rajdoot","ChIJCde_bDUbdkgR6AqRDM9S5Y8"
"Aiyas Indian Cuisine","ChIJ0eFFryYbdkgR6IcCn2S467Y"
"Daakoo","ChIJzw_mdx4RdkgR56m1nkzSO7M"
"Mum's Rasoi","ChIJweuAK9EbdkgRT5NrE6Jygpg"
"The Tiffin Tin (Hornsey)","ChIJXa2j3cIbdkgR84UnTDViUUM"
"Bombay Brasserie","ChIJg9Lfz94EdkgRKam20elTCpo"
"N3 Indian Tandoor & Bar","ChIJFYxgoPgbdkgRaRBE6z9EalE"
"Loving Hut Archway","ChIJP1JZWK4bdkgRxv8Y38db37Y"
"Noorjahan","ChIJyy4RJ2EFdkgRUDjLEscRSv0"
"Noorjahan II","ChIJWdrmlUwFdkgRx3E52cxsack"
"Rathiga Restaurant","ChIJnayBvzEZdkgRQihb9EErC4Y"
